İngilizce,Turkısh
ranch,çiftlik
release,serbest bırakmak
dispatch,sevk etmek
handed,teslim
implement,uygulamak
distraction,dikkati başka yöne çekme
stricter,daha katı
submerge,batırmak
balance,denge
saucer,tabak
accomplishment,başarı
grabber,kapmak
grab,yakalamak
dedicated,özel
revive,canlandırmak
incident,olay
resilience,dayanıklılık
malnourished,yetersiz beslenmiş
though,yine de
urge,dürtü
criticize,eleştirmek
Let me through,Geçmeme izin ver.
find out,anlamak
destroy,tahrip etmek
bring,getirmek
emigrating,göç eden
indicate,belirtmek
accomplish,sonuçlandırmak
require,gerekmek
steer,yönlendirmek
unscrewed the lid,kapağı söktü
pavament,kaldırım
discount,indirim
stride,adım
pointing,işaret etmek
come out,çıkmak
demonstrate,göstermek
throughout,boyunca
stop pretending,numara yapmayı kes
Pay attention,dikkat etmek
budget,bütçe
cancel,iptal etmek
indeed,aslında
arrange,düzenlemek
Word stress,kelime vurgusu
A bow tie!,Papyon!
venue,mekan
to get engaged,nişanlanmak
propose,teklif etmek/önermek
concern,kaygı
drown,boğulmak
complaining,şikayet
tucking into,içine sokmak
enthusiasm,heves
supply,tedarik
rebellion,isyan
opportunities,fırsatlar
stranded,karaya oturmuş
disappear,yok olmak
realize,fark etmek
expect,beklemek
recommend,tavsiye etmek 
differs,farklılık gösterir
rescue,kurtarmak
tilt,eğim
manag,yönetmek
chanted,şarkı söyledi
peals of laughter,kahkahalar
inconceivable,akıl almaz
content,içerik
opportunity,fırsat
pandemonium,kargaşa
track,izlemek
provided,tedarik edilen
fluster,telaş
overexcite,aşırı heyecanlanmak
preparation,hazırlık
certain,kesin
mischief,yaramazlık
instruction,talimat
supplied,verilen
tremendous,muazzam
ı shake you warmly by the hand,sıcak bir şekilde elini sallıyorum
greetings to you,selamlar sana
read it aloud,yüksek sesle oku
striped,çizgili
at this point,Bu noktada
victory,zafer
leap,sıçramak
all at once,hepsi birden
ı ought,Yapmalıyım
rubb,ovmak
nodded,başını salladı
splutter,sıçratmak
hoard,zula
ancient leather purse,antik deri çanta
sly grin,sinsi sırıtış
tiptoe,sessizce
beckon,işaret etmek
gamble,kumar
deserve,hak etmek
beast,canavar
terrific,müthiş
undignified,onursuz
striking,dikkat çekici
ferociously,vahşice
wildly,çılgınca
gather,toplamak
picked up,aldı
shrugging,omuz silkme
shell, soymak kabuğundan ayırmak
intently,uzakta
experience,deneyim
Prefixes,önekler
attitude,davranış
Introduction,giriiş
describe,betimlemek
loyal,sadık
companion,Arkadaş
summary,özet
brand,marka
shipp,nakliye
inspiration,esin
accountant,muhasebeci
jumper,tulum
tend,eğilimli olma
express,ifade etmek
denid,inkar
feed,beslemek
get antsy,sabırsızlanmak
antsy,sabırsız
wave,el sallamak
hose,hortum
dragged,sürüklenen
drag,sürüklemek
magnifying glass,büyüteç
anxiously,endişeyle
moaned,inledi
moan,inilti
dying of boredom,sıkıntıdan ölmek
disappointment,hayal kırıklığı
treasure,hazine
admirer,hayran
shovel,kürek
lumps,topaklar
lawn,çim
stuff,şey
stacked,yığılmış
same old,aynı eski
suppose,sanmak
invite,davet etmek
contemporary,modern
surroundings,çevre
occasion,fırsat
guilty,suçlu
exhilarate,neşelendirmek
instance,misal
manage,üstesinden gelmek
chase,takip etmek
slightly,biraz
script,senaryo
homesickness,vatan hasreti
unusual,olağan dışı
On top of the world,Dünyanın zirvesinde
to heat food,yemeği ısıtmak 
… such as do, … gibi yapmak
attempt,girişim
sidewalk,kaldırım
disagreement,anlaşmazlık
annoy,sinir etmek
soar,uçmak
gasping,nefes nefese
surface,yüzey
the bay,körfez
gracefully,zarifçe
through,vasıtasıyla
disappear,kaybolmak
one by one,tek tek
up a hill,tepeye çıkmak
field,alan
lead,öncülük etmek
pond,gölet
neither,hiç biri
regret,pişmanlık
toss,atmak
throw,fırlatmak
proper,düzgün
Instead,Bunun yerine
impressions,izlenimler
swap,takas
embarrassing,utandırıcı
survey,anket
İnviation,davet etmek
sculptures.,heykeller.
salary,maaş
destroyed!,yerlebir edilmiş!
simultaneously,eşzamanlı
fireworks,havai fişek
recently,son günlerde
flight attendant,uçuş görevlisi
qualifications,nitelikler
To be honest,dürüst olmak gerekirse
Fortunately,neyse ki